DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
01M015,62.65,C1,B2,D3,B4
01M019,48.94,C1,B2,D3,B4
01M020,57.68,A1,A2,C3,A4
01M034,66.75,B1,B2,C3,B4
01M063,57.55,B1,B2,C3,A4
01M064,61.5,C1,A2,D3,D4
01M110,42.47,D1,C2,C3,D4
01M134,53.05,B1,C2,D3,A4
01M137,58.66,C1,B2,D3,F4
01M140,61.9,B1,A2,C3,B4
01M142,61.02,B1,A2,C3,B4
01M184,27.58,A1,A2,A3,A4
01M188,64.94,C1,B2,D3,F4
01M292,2.16,D1,F2,C3,F4
01M292,2.31,C1,D2,D3,C4
01M301,2.31,C1,B2,C3,C4
01M315,32.44,C1,C2,D3,D4
01M332,2.12,B1,B2,C3,B4
01M345,2.72,B1,B2,C3,B4
01M361,35.38,C1,B2,F3,B4
01M363,33.79,C1,B2,D3,C4
01M364,31.8,D1,B2,F3,D4
01M378,2.49,B1,A2,B3,B4
01M448,2.24,C1,F2,D3,C4
01M450,2.42,A1,A2,A3,B4
01M450,2.21,A1,A2,B3,A4
01M509,2.01,B1,C2,C3,B4
01M515,2.75,A1,B2,A3,A4
01M539,3.55,B1,C2,A3,B4
01M539,12.97,A1,B2,A3,A4
01M650,2.59,A1,A2,A3,A4
01M696,3.81,B1,A2,B3,C4
01M839,2.8,A1,A2,A3,A4
02M001,39.34,B1,C2,C3,C4
02M002,40.23,A1,B2,B3,A4
02M003,17.09,B1,B2,C3,B4
02M006,12.51,B1,C2,B3,B4
02M011,40.45,A1,A2,A3,A4
02M033,50.44,A1,A2,A3,B4
02M040,15.55,A1,A2,B3,A4
02M041,11.69,B1,A2,B3,B4
02M042,36.63,A1,A2,A3,A4
02M047,1.67,A1,A2,B3,A4
02M051,49.51,B1,A2,B3,B4
02M059,19.37,B1,A2,C3,C4
02M077,9.83,A1,B2,A3,A4
02M089,11.57,B1,B2,C3,B4
02M104,3.13,B1,B2,B3,B4
02M111,52.01,B1,C2,D3,A4
02M114,3.62,A1,A2,A3,A4
02M116,20.28,B1,B2,B3,C4
02M124,26.08,A1,B2,A3,A4
02M126,40.66,A1,B2,A3,A4
02M130,27.53,A1,A2,A3,A4
02M131,2.89,B1,B2,C3,A4
02M150,14.53,B1,A2,C3,B4
02M158,18.68,A1,D2,A3,A4
02M167,3.11,B1,B2,B3,B4
02M183,14.61,B1,B2,C3,B4
02M198,50.02,B1,C2,C3,B4
02M212,23.15,A1,A2,B3,B4
02M217,35.99,B1,B2,C3,B4
02M225,41.34,B1,B2,D3,A4
02M234,9.11,B1,A2,B3,B4
02M255,3.58,B1,A2,B3,C4
02M260,2.96,A1,A2,A3,A4
02M288,2.44,A1,B2,A3,A4
02M289,3.37,B1,A2,B3,B4
02M290,13.17,A1,A2,B3,A4
